id,lang,path,sr,text
1,en,en/1.wav,16000,"The sun shone brightly in the clear blue sky, casting a warm glow over the countryside."
2,en,en/2.wav,16000,"She gazed out the window, lost in thought as the raindrops tapped against the glass."
3,en,en/3.wav,16000,"The aroma of freshly baked bread filled the air, making her stomach growl with hunger."
4,en,en/4.wav,16000,"He walked down the winding path, taking in the beauty of the forest around him."
5,en,en/5.wav,16000,The sound of waves crashing against the shore was soothing to her ears.
6,en,en/6.wav,16000,The little girl giggled with delight as she played with her favorite toy.
7,en,en/7.wav,16000,He felt a sense of accomplishment after completing the difficult task.
8,en,en/8.wav,16000,"The scent of roses wafted through the garden, making her feel calm and relaxed."
9,en,en/9.wav,16000,She felt a pang of sadness as she said goodbye to her best friend.
10,en,en/10.wav,16000,The chirping of birds in the early morning was a pleasant way to wake up.
11,en,en/11.wav,16000,He couldn't help but smile at the sight of his newborn daughter.
12,en,en/12.wav,16000,The sound of thunder in the distance made her nervous.
13,en,en/13.wav,16000,She took a deep breath and tried to relax as the plane took off.
14,en,en/14.wav,16000,He was filled with excitement as he prepared for his first solo trip.
15,en,en/15.wav,16000,The snow-covered landscape was breathtakingly beautiful.
